categoria,descricao,ean,preco,titulo,url
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Frigobares,"Refrigerador Expositor Vertical Para Bebidas 85 Litros Vb11rb Counter Top Preta 127v - Metalfrio VB11. A solução perfeita para seu balcão. Com ele, seu estabelecimento pode surpreender os clientes com bebidas refrescantes e aumentar o faturamento do seu negócio. Se adequa a qualquer tipo de local, desde salões de beleza, barbearias, academias, oficinas, até escolas, consultórios, dentre outros. Resfriamento rápido e uniforme em todas as bebidas. Mantém a temperatura ideal de consumo, com componentes de excelente qualidade e muito charme na exposição de bebidas. Mantém as bebidas sempre em destaque no ponto de venda. Característica e Descrição da Ficha Técnica: - Porta com fechamento automático - Prateleiras suspensas e reguláveis - Evaporador aletado (com ventilação forçada de ar frio) - Testeira iluminada - Voltagem - 127V - Frequência: 60Hz - Faixa Temp. - 0°C/+6°C - Potência: 115W - Tomada: 10A - Capacidade Bruta 97 litros - Capacidade Líquida 85 litros - Tipo de evaporador: Alumínio - Tipo do Gás Refrigerante: R290 - Tipo de Condensador: Estático Capacidade de Armazenamento: - Lata 350ml – 108 un. - Peso Líquido 41 kg - Peso Bruto - 31 kg - Medidas Internas: 68,3 cm A x 44 cm L x 41,1 cm P - Medidas Externas: 76,3 cm A x 52 cm L x 46,8 cm P - Medidas Embalado: 91cm A x 59cm L x 57cm P",,"R$3.417,13",Refrigerador Expositor Vertical Para Bebidas 85 Litros VB11RL Counter Top Preto 127V - Metalfrio,https://www.amazon.com.br/Refrigerador-Expositor-Vertical-Bebidas-Counter/dp/B095DZXJJX
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Frigobares,Mini Geladeira 15 Litros Cinza ( 110 - 220 volts ) Minicool,7898656530025,"R$1.199,00",Mini Geladeira 15 Litros Cinza ( 110 - 220 volts ) Minicool,https://www.amazon.com.br/Mini-Geladeira-15-Litros-Cinza/dp/B07WGW9S6J
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Frigobares,Recursos,,"R$1.419,99","Geladeira de carro portátil, freezer de carro com 12/24 v dc, caixa de refrigerador de carro, para caminhão, veículos, RV, viagem por estrada, acampamento, ao ar livre, quarto, casa",https://www.amazon.com.br/Geladeira-port%C3%A1til-refrigerador-caminh%C3%A3o-acampamento/dp/B09Q7XL5Z9
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras com Freezer,"A Geladeira Consul Cycle Defrost Duplex 334 litros possui o Gavetão Hortifruti e 15 níveis de altura para ajustar as prateleiras. Mais facilidade com 2 portas e Tecnologia Cycle Defrost, para você descongelar a geladeira apenas 2 vezes ao ano. Ahhh! Bem pensado.",7891129195455,"R$2.433,22",Geladeira Consul Cycle Defrost Duplex 334 litros Branca com Freezer Supercapacidade - CRD37EB 220V,https://www.amazon.com.br/gp/offer-listing/B076BB1P15
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras com Freezer,FROST FREE |  ITÂNIO | 387L |  2 PORTAS | TOP FREEZER  | INVERTER:  45% de economia de energia | Smartsense | Antibacteria AG | Jumbo Freezer de 95L | Painel Eletrônico,,"R$3.945,99",Refrigerador/Geladeira Panasonic Inverter NR-BT43PV1TB Frost Free Duas Portas 387 Litros 220V,https://www.amazon.com.br/Refrigerador-Geladeira-Panasonic-Inverter-NR-BT43PV1TB/dp/B09ZJ6B8BM
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras com Freezer,"""Se você procura por um refrigerador com design inovador e funcionalidades modernas e tecnologias para deixar o seu dia a dia mais prãtico e fácil, o Refrigerador Frost Free Bottom Freezer 598 litros (DB84) éa escolha perfeita.",7896584073553,"R$5.434,00",Refrigerador Frost Free Electrolux Bottom Freezer Electrolux 598 Litros (DB84) - 110V,https://www.amazon.com.br/Refrigerador-Electrolux-Bottom-Freezer-Litros/dp/B07BBT6Y57
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Frigobares,O Frigobar 45L Midea,,"R$749,90",FRIGOBAR 45L PRETO 127V 60Hz Midea,https://www.amazon.com.br/FRIGOBAR-PRETO-45L-127V-60Hz/dp/B08JNHW75F
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras Padrão,"Tamanho: 28,0 cm × 19,0 cm × 31,5 cm ",,"R$1.975,34","Ljyutihg Mini geladeira retrô bx Car 20L 20L, macaron rosa.",https://www.amazon.com.br/Ljyutihg-geladeira-retr%C3%B4-macaron-rosa/dp/B08XQ5KW41
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Frigobares,"Esta geladeira/freezer portátil Whynter oferece qualidade premium e design inovador para suas necessidades congeladas/refrigeradas. Este freezer é ótimo para trailers, barcos, acampamentos, viagens de pesca e realmente portátil, para que você possa levar sua geladeira/freezer para qualquer lugar! Tudo o que você precisa é uma tomada doméstica padrão de 110 V ou uma fonte de alimentação de 12 volts, como uma bateria automotiva.",0852749006917,,"Whynter Geladeira portátil compacta FMC-350XP de 34 litros, AC 110V/DC 12V verdadeiro freezer para carro, casa, acampamento, RV-13 °C a 25 °F, tamanho único, cinza",https://www.amazon.com.br/Whynter-Geladeira-FMC-350XP-verdadeiro-acampamento/dp/B07TJL6TBZ
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Frigobares,"A geladeira Frigidaire Retro Eraser Board dará a você o armazenamento adicional que você precisa para sua comida e bebida. Tem uma composição exclusiva que permite escrever e apagar mensagens na frente, permitindo que você as personalize de forma divertida. A geladeira de 3,2 pés tem uma cor preta que complementa a maioria dos espaços suavemente. O interior inclui duas prateleiras ajustáveis,",,"R$1.717,14","FRIGIDAIRE EFR107-WHITE 1,6 pés compacto dormitório geladeira com placa seca, branco",https://www.amazon.com.br/FRIGIDAIRE-EFR107-WHITE-compacto-dormit%C3%B3rio-geladeira/dp/B08TCHM1DZ
