categoria,descricao,ean,preco,titulo,url
"Eletrodomésticos/Fogões, Fornos e Cooktops/Fogões com Forno/Fogões","O fogão 56DBA Electrolux é um produto além de tudo o que você já conheceu em termos de cozimento e preparo de refeições. Tem forno superior a gás de 38,8 litros, e forno a gás inferior de 67,7 litros para preparar outras receitas. Esse fogão Electrolux veio para atender pessoas exigentes, que desejam mais rapidez e requinte em suas opções gastronômicas. O sistema bloqueia gás corta a chama do forno caso a chama se apague, evitando acidentes. Dessa forma, sua família e amigos estarão seguros ao manusear esse fogão 4 bocas Electrolux. Uma excelente opção para ter alimentos bem preparados no tempo certo e com muito mais conforto. Mais uma vez, a Electrolux mostra porque vem liderando o mercado.",,"R$1.899,00",Fogão 4 Bocas Electrolux Branco Automático com 2 Fornos e Porta Full Glass (56DBA) Bivolt,https://www.amazon.com.br/Fog%C3%A3o-Electrolux-Bocas-Duplo-Tripla/dp/B07W6M9V6Z
"Eletrodomésticos/Fogões, Fornos e Cooktops/Fogões Cooktop",Medidor De Gás Manômetro Registro Regulador Válvula Cozinha 2KG/H,7898276630631,"R$79,25",Medido Gás Manômetro Registro Regulado Válvula Cozinha 1kg/h,https://www.amazon.com.br/gp/offer-listing/B07VV3J6T3
"Eletrodomésticos/Fogões, Fornos e Cooktops/Fogões com Forno/Fogões","4 queimadores de aço esmaltado, botões top control, mesa de vidro temperado, acendimento automático total na mesa e no forno, capacidade do forno 56 l, controle de temperatura do forno 180°c a 280°c, forno easy clean, proteção térmica com vidro duplo no forno, 2 grades fixas com 3 níveis de ajuste no forno.",,"R$839,00","Fogão de Piso Max Cook, Mesa de Vidro Top, 4Q Biv, Preta",https://www.amazon.com.br/Fog%C3%A3o-Suggar-Queimadores-Bivolt-FGV402PT/dp/B089YWGKFF
"Eletrodomésticos/Fogões, Fornos e Cooktops/Fogões com Forno/Fogões","Mesa em vidro 6mm temperado, 05 queimadores forjados e com base esmaltada, visor total e duplo na porta do forno, acendimento automático total, isolamento térmico, forno com esmalte easy clean, trempes individuais, luz no forno, porta do forno com parada intermediária",,,Fogão de Piso 5 Bocas Braslar New Top Glass Plus 2020,https://www.amazon.com.br/Fog%C3%A3o-Piso-Bocas-Braslar-Glass/dp/B08TKMXJ2C
"Eletrodomésticos/Fogões, Fornos e Cooktops/Coifas e Exaustores/Coifas de Parede","Para acabar com os odores indesejáveis e toda fumaça da sua cozinha, você pode contar com a Coifa de Parede Philco Glass 60 PCO60G. Ideal para fogões de até 4 bocas, essa coifa com design moderno em aço inox e vidro temperado vai deixar sua cozinha muito mais charmosa; É dupla função, ou seja, além de funcionar como exaustor, também funciona como depurador. Dois benefícios em um único produto. Conta com três velocidades, permitindo o ajuste de acordo com a quantidade de fumaça a ser absorvida; Possui dois filtros, sendo um de alumínio e outro de carvão ativo, proporcionando muito mais absorção da gordura e da fumaça; Acompanha duto e kit para a instalação; o ar de sua cozinha muito mais limpo com a Coifa de Parede Philco Glass 60 PCO60G.",7891356069352,"R$791,91","Coifa, Pco60g, 220w, Cinza, 110v, Philco",https://www.amazon.com.br/gp/offer-listing/B076HX6NQQ
"Eletrodomésticos/Fogões, Fornos e Cooktops/Fogões Cooktop","Classificação A; Queimadores Esmaltados; 04 Queimadores semi-rápidos 1750w; 01 Queimador ultra rápido 3500w; Trempe esmaltada com sistema de encaixe mais segurança e facilidade na limpeza; Mesa de vidro temperado, Acendimento Inteligente, Botões de fácil manuseio. Registro INMETRO 003750/2016",7897575153568,"R$509,00","Cooktop 5 bocas tripla chama branco Chamalux, 572",https://www.amazon.com.br/Cooktop-bocas-tripla-branco-Chamalux/dp/B07TVKVP23
Cozinha/Eletroportáteis/Eletroportáteis Especiais/Fornos Elétricos,"Forno Elétrico Multilaser 127V Vermelho, seus pratos suculentos e no ponto certo. O forno elétrico da Multilaser é ideal para assar, tostar, grelhar e esquentar, para seus pratos ficarem deliciosamente perfeitos. Ela também conta com um design moderno e acabamento inox premium para deixar sua cozinha ainda mais bonita. Desenvolvida com fundo curvo para formas redondas e pizzas, timer de 120 minutos para você não perder o ponto das suas receitas e controle de temperatura de até 230°C, possui 46L de capacidade para você preparar qualquer receita que você faria em um forno convencional. Além disso tudo, ele possui seletor de Funções assim você pode assar, gratinar e esquentar apenas selecionando a função desejada. É ideal para assados diversos, pães, toras, bolos, cupcakes, doces, pizzas e brotinhos. IMAGENS MERAMENTE ILUSTRATIVAS.",7899838874852,"R$610,00",Forno Elétrico 46L Multilaser 220V 1500W Vermelho - CE130,https://www.amazon.com.br/Forno-El%C3%A9trico-Multilaser-1500W-Vermelho/dp/B07YL7L9JF
"Eletrodomésticos/Fogões, Fornos e Cooktops",Fogão Electrolux 5 Bocas Automático Mesa de Vidro - Bivolt - Preto - 76GS,,"R$2.224,94",Fogão 5 Bocas Electrolux Preto Automático com Mesa de Vidro e Tripla Chama (76GS) Bivolt,https://www.amazon.com.br/Fog%C3%A3o-Bocas-Mesa-Vidro-76GS/dp/B07TDRLZ8Q
"Eletrodomésticos/Fogões, Fornos e Cooktops/Coifas e Exaustores/Depuradores","Depurador e coifa de ar Slim vermelho 80cm 110V Suggar; 3 velocidades; Grande capacidade de sucção; Dupla filtragem: tela de alumínio lavável e filtro de carvão ativado elimina odores indesejado; Baixo consumo 0,11kWh",,"R$432,90",Depurador de ar Slim vermelho 80cm 110V Suggar,https://www.amazon.com.br/gp/offer-listing/B07NJ3XKR4
"Eletrodomésticos/Fogões, Fornos e Cooktops/Fogões com Forno/Fogões",Características ,,"R$989,00",Fogão 4 bocas Piacere Vetro Preto Fosco - Mueller Unica,https://www.amazon.com.br/gp/offer-listing/B08C5MX7SK
